Item,Designator,Qty,Value,Description,Manufacturer,MPN,Package,Type,Sheet
1,U4,1,RP2040,"Dual-Core ARM Cortex-M0+ MCU (133MHz, 264KB SRAM)",Raspberry Pi,RP2040,QFN-56 (7x7mm),IC - Microcontroller,02_MCU_RP2040
2,U9,1,74LVC8T245,"8-Bit Dual-Supply Level-Shifting Transceiver (1.2V-5.5V)",Nexperia,74LVC8T245PW,TSSOP-24,IC - Interface,03_Input_Buffer
3,U2,1,AP2112K-3.3,"3.3V 600mA Low-Dropout (LDO) Linear Regulator",Diodes Inc.,AP2112K-3.3TRG1,SOT-23-5,IC - Power,01_Power_USB
4,U3,1,16MB (128Mbit),"16MB 133MHz Quad-SPI NOR Flash Memory",Winbond,W25Q128JVSIQ,SOIC-8 (208-mil),IC - Memory,02_MCU_RP2040
5,U1,1,USBLC6-2SC6,"High-Speed USB 2.0 TVS ESD Protection (0.6pF)",STMicroelectronics,USBLC6-2SC6,SOT-23-6,IC - Protection,01_Power_USB
6,"U5, U6, U7, U8, U10",5,PRTR5V0U2X,"Dual Ultra-Low Capacitance TVS Clamp Diodes (1pF)",Nexperia,PRTR5V0U2X,SOT-143B,Diode - TVS,03_Input_Buffer
7,Q1,1,2N7002,"N-Channel 60V 300mA MOSFET (Backlight Switch)",ON Semiconductor,2N7002,SOT-23,Transistor - MOSFET,04_Display_UI
8,LED1,1,Green,"SMD Green Power Status Indicator LED",Lite-On,LTST-C190GKT,0603,Optoelectronics,01_Power_USB
9,DISP1,1,ST7789-2.4,"2.4-inch 320x240 Color IPS TFT Display (SPI)",Waveshare,ST7789-2.4-SPI,8-Pin 2.54mm Module,Display,04_Display_UI
10,J1,1,TYPE-C-16P,"16-Pin USB Type-C Receptacle (USB 2.0)",Korean Hroparts,TYPE-C-31-M-12,Hybrid SMT/TH,Connector - USB,01_Power_USB
11,J2,1,1x03 Header,"3-Pin 2.54mm Pin Header (SWD Debug)",Amphenol,68000-103HLF,1x03 2.54mm,Connector - Header,02_MCU_RP2040
12,J3,1,1x12 Header,"12-Pin 2.54mm Header (VREF + 8 Probes + 3 GND)",Amphenol,68000-112HLF,1x12 2.54mm,Connector - Header,03_Input_Buffer
13,"SW1, SW2",2,SPST Tact,"SPST Momentary SMT Tactile Switches (RUN, BOOT)",C&K,PTS645SL43SMTR92,6.0x3.5mm SMT,Switch - Tactile,02_MCU_RP2040
14,SW3,1,2-Pos DIP,"2-Position SMT Slide DIP Switch (I2C Pull-ups)",Wurth Elektronik,418121160802,2-Pos SMT DIP,Switch - DIP,03_Input_Buffer
15,SW4..SW8,1,5-Way Joystick,"5-Way Directional Navigation Switch",ALPS Alpine,SKRHAAE010,5-Way SMT,Switch - Joystick,04_Display_UI
16,F1,1,0.5A,"Resettable PTC Polyfuse (0.5A Hold / 1.0A Trip 6V)",Bourns,MF-MSMF050-2,0805,Circuit Protection,01_Power_USB
17,Y1,1,12.000MHz,"12.000 MHz Crystal Oscillator (+-10ppm, 18pF)",Abracon,ABM8G-12.000MHZ-18,4-SMD (3.2x2.5mm),Crystal,02_MCU_RP2040
18,FB1,1,120R @ 100MHz,"Ferrite Bead Filter (500mA)",Murata,BLM18PG121SN1D,0603,Ferrite Bead,02_MCU_RP2040
19,"R1, R2",2,5.1k,"Resistor 5.1k Ohm 1% 1/16W",Yageo,RC0402FR-075K1L,0402,Resistor,01_Power_USB
20,R3,1,1M,"Resistor 1M Ohm 5% 1/10W (100V)",Yageo,RC0603JR-071ML,0603,Resistor,01_Power_USB
21,R4,1,1.5k,"Resistor 1.5k Ohm 5% 1/16W",Yageo,RC0402JR-071K5L,0402,Resistor,01_Power_USB
22,"R5, R11, R13..R17",7,10k,"Resistor 10k Ohm 5% 1/16W (Pull-ups)",Yageo,RC0402JR-0710KL,0402,Resistor,02_MCU_RP2040 / 04_UI
23,R6..R10,5,33R,"Resistor 33 Ohm 5% 1/16W (QSPI Damping)",Yageo,RC0402JR-0733RL,0402,Resistor,02_MCU_RP2040
24,"R12, R_OSC",2,1k,"Resistor 1k Ohm 5% 1/16W (BOOTSEL & XTAL)",Yageo,RC0402JR-071KL,0402,Resistor,02_MCU_RP2040
25,"R_USB1, R_USB2",2,27R,"Resistor 27 Ohm 1% 1/16W (USB D+/D- Match)",Yageo,RC0402FR-0727RL,0402,Resistor,01_Power_USB
26,"R_LCD1, R_LCD2, R_LCD3",3,22R,"Resistor 22 Ohm 1% 1/16W (LCD SPI Damping)",Yageo,RC0402FR-0722RL,0402,Resistor,04_Display_UI
27,R_IN0..R_IN7,8,100R,"Resistor 100 Ohm 1% 1/16W (Probe Input)",Yageo,RC0402FR-07100RL,0402,Resistor,03_Input_Buffer
28,"R_PU1, R_PU2",2,2.2k,"Resistor 2.2k Ohm 1% 1/16W (I2C Pull-ups)",Yageo,RC0402FR-072K2L,0402,Resistor,03_Input_Buffer
29,R18,1,10R,"Resistor 10 Ohm 5% 1/8W (Backlight Ballast)",Yageo,RC0805JR-0710RL,0805,Resistor,04_Display_UI
30,C1,1,4.7nF,"Capacitor Ceramic 4.7nF 10% 1kV X7R",TDK,C2012X7R3A472K085AE,0805,Capacitor,01_Power_USB
31,"C2, C4, C15",3,10uF,"Capacitor Ceramic 10uF 10% 10V X7R",Murata,GRM21BR71A106KE51L,0805,Capacitor,01_Power / 02_MCU
32,"C5, C17, C19, C23, C26, C32",6,1.0uF,"Capacitor Ceramic 1.0uF 10% 10V X7R",Murata,GRM155R71A105KE15D,0402,Capacitor,01_Power / 02_MCU / 03_Buffer
33,"C3, C6..C8, C11..C14, C16, C18, C20..C22, C24, C25, C27..C31, C33",20,100nF,"Capacitor Ceramic 100nF 10% 16V X7R",Murata,GRM155R71C104KA88D,0402,Capacitor,01_Power / 02_MCU / 03_Buffer / 04_UI
34,"C9, C10",2,27pF,"Capacitor Ceramic 27pF 5% 50V NP0/C0G",Murata,GRM1555C1H270JA01D,0402,Capacitor,02_MCU_RP2040
